station_id,station_name,latitude,longitude,timestamp,pm25,pm10,no2,so2,o3,co,temp,humidity,pressure,wind_speed,wind_direction,road_count,has_major_road,industrial_zone_count,near_industrial_zone,dump_site_count,near_dump_site,agricultural_count,near_agricultural_area,pm25_norm,pm10_norm,no2_norm,so2_norm,o3_norm,co_norm,temp_norm,humidity_norm,pressure_norm,wind_speed_norm,hour,day_of_week,month,season,aqi_category,pollution_source,source_confidence
407,"Zoo Park, Hyderabad - TSPCB",17.349694,78.451437,2026-03-10 23:46:44,63.0,123.0,88.2,2.4,3.7,0.1,25.29,34,1014,3.36,188,337,1,5,1,0,0,1,1,0.3364,0.6066,1.0,0.0,0.0,0.0001,0.0,0.5,0.0,0.3673,23,1,3,Summer,Moderate,Vehicular,1.0
2459,US Diplomatic Post: Hyderabad,17.443464,78.47489,2026-03-10 23:47:38,80.0,123.61,25.33,9.82,38.01,1.51,26.29,33,1014,3.29,183,669,1,28,1,0,0,9,1,0.4564,,,,,,0.885,0.25,0.0,0.2245,23,1,3,Summer,Moderate,Vehicular,0.46
2594,"Sanathnagar, Hyderabad - TSPCB",17.423297,78.474697,2026-03-10 23:48:31,157.0,123.61,25.33,4.2,173.79,270.0,26.29,33,1014,3.29,183,877,1,45,1,0,0,0,0,1.0,,,0.0403,0.9712,0.2231,0.885,0.25,0.0,0.2245,23,1,3,Summer,Very Poor,Industrial,0.41
5599,"Bollaram Industrial Area, Hyderabad - TSPCB",17.540891,78.358528,2026-03-10 23:49:23,52.0,112.0,12.9,3.6,51.4,0.57,26.42,36,1014,3.67,163,109,1,7,1,0,0,0,0,0.2587,0.5388,0.1165,0.0268,0.2724,0.0005,1.0,1.0,0.0,1.0,23,1,3,Summer,Satisfactory,Industrial,0.67
5623,"Central University, Hyderabad - TSPCB",17.460103,78.334361,2026-03-10 23:50:21,26.0,86.0,8.0,5.9,23.7,0.0,25.98,36,1014,3.53,170,204,1,13,1,1,1,2,1,0.0752,0.3787,0.059,0.0783,0.1142,0.0,0.6106,1.0,0.0,0.7143,23,1,3,Summer,Good,Industrial,0.55
5647,"Sanathnagar, Hyderabad - TSPCB",17.455946,78.433215,2026-03-10 23:50:59,32.0,123.61,22.4,8.5,14.5,1.66,26.42,33,1014,3.34,177,377,1,25,1,0,0,3,1,0.1175,,0.228,0.1365,0.0617,0.0014,1.0,0.25,0.0,0.3265,23,1,3,Summer,Satisfactory,Industrial,0.56
8557,Hyderabad,17.38405,78.45636,2026-03-10 23:51:44,79.8,123.61,25.33,9.82,38.01,1.51,25.92,33,1014,3.31,186,0,0,21,1,1,1,2,1,0.455,,,,,,0.5575,0.25,0.0,0.2653,23,1,3,Summer,Moderate,Industrial,1.0
344103,"ECIL Kapra, Hyderabad - TSPCB",17.470431,78.566959,2026-03-10 23:53:07,15.35,24.53,14.15,3.9,178.83,800.0,26.11,32,1014,3.18,189,82,1,18,1,0,0,13,1,0.0,0.0,0.1312,0.0336,1.0,0.6612,0.7257,0.0,0.0,0.0,23,1,3,Summer,Good,Burning,0.24
344104,"Kompally Municipal Office, Hyderabad - TSPCB",17.544899,78.486949,2026-03-10 23:54:05,28.26,27.38,2.97,5.32,133.9,240.0,26.26,34,1014,3.4,172,96,1,5,1,0,0,21,1,0.0911,0.0176,0.0,0.0653,0.7434,0.1983,0.8584,0.5,0.0,0.449,23,1,3,Summer,Good,Agricultural,0.5
344140,"Somajiguda, Hyderabad - TSPCB",17.417094,78.457437,2026-03-10 23:54:50,69.53,186.86,47.31,4.64,21.31,1210.0,26.29,33,1014,3.29,183,711,1,33,1,1,1,0,0,0.3825,1.0,0.5202,0.0501,0.1006,1.0,0.885,0.25,0.0,0.2245,23,1,3,Summer,Moderate,Vehicular,0.54
344142,"Nacharam_TSIIC IALA, Hyderabad - TSPCB",17.429398,78.569354,2026-03-10 23:55:37,129.72,107.18,13.56,7.9,9.1,380.0,26.07,32,1014,3.2,191,87,1,27,1,0,0,1,1,0.8074,0.5091,0.1243,0.123,0.0308,0.314,0.6903,0.0,0.0,0.0408,23,1,3,Summer,Very Poor,Industrial,0.52
346258,"Kokapet, Hyderabad - TSPCB",17.393559,78.339194,2026-03-10 23:56:21,21.25,30.37,14.59,12.1,36.35,180.0,25.68,36,1014,3.47,176,364,1,33,1,0,0,10,1,0.0417,0.036,0.1363,0.217,0.1864,0.1488,0.3451,1.0,0.0,0.5918,23,1,3,Summer,Good,Industrial,0.44
352465,"New Malakpet, Hyderabad - TSPCB",17.37206,78.50864,2026-03-10 23:56:55,27.66,70.48,14.06,47.1,26.65,1000.0,25.85,32,1014,3.31,190,430,1,7,1,0,0,9,1,0.0869,0.2831,0.1301,1.0,0.131,0.8264,0.4956,0.0,0.0,0.2653,23,1,3,Summer,Good,Vehicular,0.38
4720578,Hyderabad,17.492676,78.405394,2026-03-10 23:57:41,16.686041355133057,123.61,25.33,9.82,38.01,1.51,26.21,35,1014,3.45,171,0,0,17,1,1,1,0,0,0.0094,,,,,,0.8142,0.75,0.0,0.551,23,1,3,Summer,Good,Industrial,1.0
SIM_IND_000,Simulated_Industrial_0,17.426828,78.344203,2026-03-10 12:00:00,84.75,133.48,40.78,60.6,46.77,0.63,28.8,26,1014,1.7,119,21,0,10,1,1,1,0,0,,,,,,,,,,,12,1,3,Summer,,Industrial,1.0
SIM_IND_001,Simulated_Industrial_1,17.41178,78.579529,2026-03-10 12:00:00,60.58,220.87,39.43,40.42,24.66,1.936,27.4,30,1014,3.7,183,16,0,18,1,0,1,2,0,,,,,,,,,,,12,1,3,Summer,,Industrial,1.0
SIM_IND_002,Simulated_Industrial_2,17.526935,78.45026,2026-03-10 12:00:00,109.68,224.41,36.65,71.7,37.32,1.557,22.7,39,1014,6.4,40,12,0,22,1,3,1,0,0,,,,,,,,,,,12,1,3,Summer,,Industrial,1.0
